Dataset,Model,TR TIME,TR CPU%,TR Energy (J),Accuracy,Precision,Recall,F1 Score,MCC,TE TIME,TE CPU%,TE Energy (J),XAI,XAI TR TIME,XAI TR CPU%,XAI TR Energy (J),XAI TE TIME,XAI TE CPU%,XAI TE Energy (J)
UNAC,MLP,0.0533600905910134,64.691162109375,16.909173784561457,0.8974358974358975,0.8994082840236686,0.8974358974358975,0.8937062937062937,0.6729503460229024,0.0018360055983066,64.691162109375,0.581808190116201,LIME (ALL),12.380928192287683,65.42928984910475,3933.300228278519,5.7003525057807565,65.7743682242027,1813.0843310059151
UNAC,SGD,0.0072316881269216,65.84269205729164,2.300686060099476,0.0769230769230769,0.0059681697612732,0.0769230769230769,0.011076923076923,-0.0876360927116374,0.0012869331985712,65.84269205729166,0.4094243582227547,Permutation Importance,0.2938989829272032,65.84269205729132,93.50089235469598,0.2869587251916528,65.84269205729136,91.29292183032615
UNAC,SGD,0.0072316881269216,65.84269205729164,2.300686060099476,0.0769230769230769,0.0059681697612732,0.0769230769230769,0.011076923076923,-0.0876360927116374,0.0012869331985712,65.84269205729166,0.4094243582227547,SHAP,4.154910693876445,65.73528589106543,1321.3564318205995,1.7147756917402148,65.6864601773102,545.246811786616
UNAC,SGD,0.0072316881269216,65.84269205729164,2.300686060099476,0.0769230769230769,0.0059681697612732,0.0769230769230769,0.011076923076923,-0.0876360927116374,0.0012869331985712,65.84269205729166,0.4094243582227547,LIME (ALL),11.43791327252984,65.5394757194869,3635.083321653574,5.445711142383516,65.84563489780835,1732.5135502546955
UNAC,GNB,0.0024452647194266,65.960693359375,0.7782490378393121,0.8290598290598291,0.8767839395746373,0.8290598290598291,0.8460332070588481,0.5572728678254187,0.0014593629166483,65.960693359375,0.4644682339367486,Permutation Importance,0.2986855115741491,65.960693359375,95.06198251354675,0.2831679750233888,65.960693359375,90.12325019784991
UNAC,GNB,0.0024452647194266,65.960693359375,0.7782490378393121,0.8290598290598291,0.8767839395746373,0.8290598290598291,0.8460332070588481,0.5572728678254187,0.0014593629166483,65.960693359375,0.4644682339367486,SHAP,4.903996934182942,65.77760683909122,1559.8085184559413,2.0280766850337386,65.62703450521235,644.7360668012493
UNAC,GNB,0.0024452647194266,65.960693359375,0.7782490378393121,0.8290598290598291,0.8767839395746373,0.8290598290598291,0.8460332070588481,0.5572728678254187,0.0014593629166483,65.960693359375,0.4644682339367486,LIME (ALL),12.143438826315103,65.93798666694299,3864.565952079873,5.383116478100419,66.2641895457877,1715.0483060980098
UNAC,RF,0.1263944962993264,66.385904947917,40.2857107352056,0.9658119658119658,0.97075831969449,0.9658119658119658,0.9668051476101012,0.8959462078672314,0.0072452668100595,66.38590494791667,2.309283485083187,Permutation Importance,1.7746181823313236,66.38590494792727,565.6239539855625,1.5381603641435504,66.23144983044148,489.9995584175944
UNAC,RF,0.1263944962993264,66.385904947917,40.2857107352056,0.9658119658119658,0.97075831969449,0.9658119658119658,0.9668051476101012,0.8959462078672314,0.0072452668100595,66.38590494791667,2.309283485083187,SHAP,8.595378194004297,66.0498787037078,2736.4653146353644,3.807932905852794,66.08994514306667,1212.4773763685644
UNAC,RF,0.1263944962993264,66.385904947917,40.2857107352056,0.9658119658119658,0.97075831969449,0.9658119658119658,0.9668051476101012,0.8959462078672314,0.0072452668100595,66.38590494791667,2.309283485083187,LIME (ALL),20.145973457954824,66.51145304967683,6423.873930808266,9.167788539081812,67.06473770039815,2928.8125760950584
